,won
37994,0
4573,0
40560,0
22806,0
64581,0
46389,0
30515,0
6376,0
37567,0
11407,0
5493,0
72690,0
26366,0
60886,0
11823,0
48507,0
19908,0
27837,0
51605,0
18356,0
70390,0
31929,0
72178,0
18850,0
27405,0
31231,0
10427,0
4147,0
48870,0
46807,0
59545,1
72775,0
4432,0
74189,0
54848,0
43184,0
39899,0
23264,0
61205,0
35683,0
58098,0
27660,0
52390,0
69971,0
51693,0
23581,0
48503,0
69203,0
36359,0
13122,0
45399,0
23421,0
39217,0
42984,0
38420,0
70309,0
17880,0
11759,0
58677,0
37082,0
75387,0
16027,0
69906,0
62204,0
12291,0
3578,0
76429,0
6419,0
69860,1
45071,0
28833,0
34205,0
44367,0
64115,0
31058,0
32365,0
45606,0
74884,0
12511,0
45673,0
17333,1
31613,0
12047,0
66051,1
60081,0
16770,0
70319,0
50585,0
19736,0
23386,0
50485,0
23692,0
75654,0
9052,0
60529,0
25189,0
76113,0
60688,0
10141,0
40901,0
25856,0
3539,0
58486,0
32500,0
38075,0
23288,0
6939,0
6204,0
9270,0
64298,0
71267,0
50995,0
42311,0
56076,0
70019,0
5233,0
49054,0
18296,0
51489,0
30180,0
55831,0
39218,0
22310,0
61805,0
806,0
56124,0
68842,0
71953,0
1035,0
31256,0
43189,0
63606,0
51547,0
66584,0
45925,0
37318,0
1567,0
40113,0
18634,0
57718,1
70139,0
33065,0
68730,0
62354,1
13058,0
39406,0
14646,0
16546,0
71644,1
34580,0
75113,0
44685,0
37469,1
7701,1
56991,0
48155,0
37543,0
42620,0
19216,0
43036,0
57905,0
53662,1
68476,0
34522,0
73464,0
39272,0
49007,1
16183,0
67408,0
29647,0
33265,0
67911,0
57926,0
63734,0
68239,0
686,0
62482,0
46384,0
68242,0
73173,0
48746,0
68038,0
8037,0
6905,1
6036,0
5384,0
24092,0
11543,0
43754,0
13059,0
40915,0
73451,0
22762,0
25767,0
73195,1
21044,0
41953,0
26595,0
38002,0
31036,0
44866,0
49160,0
12392,1
46362,0
18091,0
2793,0
12919,0
73808,0
22975,0
42602,0
60084,0
63144,0
64116,0
8655,0
26116,0
8540,0
52584,0
3772,1
5480,0
46052,0
69839,0
45629,0
10676,0
22586,0
31962,0
44460,0
28025,0
28261,0
53715,0
17492,0
40021,1
15792,0
71075,0
16769,0
8591,0
1676,0
57406,0
54168,0
23712,0
1939,0
60524,0
73561,0
51567,0
19072,0
23657,0
36553,0
19120,0
22323,1
57191,0
54842,0
6545,0
30037,0
17923,0
10543,0
17147,0
21915,0
76210,1
64071,0
52324,0
4021,0
40834,0
69009,0
34730,0
32226,0
50117,0
75753,0
50996,0
17872,0
70434,0
22059,0
660,0
45115,1
15250,0
58673,0
43938,0
64003,0
21418,0
9993,1
75092,0
21988,1
66140,0
52942,0
54880,0
18631,0
12037,0
32330,0
20585,0
60049,0
15718,0
46241,0
38716,0
48160,0
44972,0
23348,0
36925,0
43397,0
40229,0
70136,0
25959,0
50931,0
4715,0
34098,1
39263,0
49557,0
11557,1
37549,0
74061,0
25708,0
4226,0
64845,1
48849,0
7018,0
13663,0
35050,0
56486,0
18477,0
6722,0
72429,0
54394,0
27730,0
33974,0
31409,0
68878,0
13338,0
15974,0
18952,0
71178,0
57189,0
32157,0
38672,0
55654,1
71741,0
18459,0
32688,0
68853,0
44585,0
27080,0
10303,0
17166,0
13,0
1251,0
70138,0
44219,0
31884,0
35977,0
26693,0
67980,0
7003,0
20074,0
3730,1
51253,0
58732,0
30386,0
62417,0
45881,0
34660,0
35500,0
35499,0
70330,1
68802,0
61951,0
24491,0
37634,0
71785,0
16129,1
45879,0
29611,0
25264,0
76191,0
55662,1
951,0
45087,1
71606,0
57744,0
42673,0
66101,0
76196,0
30398,0
3428,0
29201,0
60041,0
9268,0
39570,0
18454,0
48249,0
3580,0
30290,0
42388,0
14434,1
56422,0
6382,0
34119,1
44575,0
71301,0
48206,0
72113,0
59414,0
39367,0
40428,0
45640,0
70749,0
8757,0
46393,0
401,0
66571,0
10157,0
27065,0
73227,0
28333,0
71488,0
68896,0
60875,0
12233,0
62716,0
37322,0
71588,0
41681,0
21376,0
60838,0
14689,0
19558,0
45076,0
20210,0
3770,0
71781,0
26139,0
74917,0
62863,0
63965,0
48986,0
57842,1
59045,0
75037,0
58346,0
69305,0
33732,0
68918,0
39260,1
32785,0
1389,0
8590,0
61925,0
49168,0
24876,0
37635,1
69129,0
50173,0
74381,0
31134,0
14947,0
38066,0
70087,0
57365,0
25227,0
38747,0
66553,0
14899,0
3198,0
43324,0
76536,0
42802,0
75601,0
74585,0
2097,0
11314,0
22941,0
61479,0
52899,0
20402,0
31487,0
65888,0
22949,0
31171,0
67362,0
29830,0
14238,1
4878,0
59794,0
14902,0
5299,1
29620,0
20341,1
34521,0
72679,0
29154,0
37556,0
44930,0
56352,0
15972,0
59997,0
47771,0
71439,0
29650,0
43117,0
28,0
20413,0
70967,0
33011,0
2961,0
41718,1
26692,0
66120,1
33335,0
61138,0
55026,0
13919,0
52450,0
50322,0
9500,1
2390,0
881,0
75773,0
10897,0
57445,0
38407,0
25722,0
27792,1
10051,0
28388,0
17935,0
70873,0
33522,0
59638,0
15975,0
27221,0
47697,0
21870,0
21309,0
43823,0
66557,0
69628,0
46912,0
14570,0
29931,0
22640,1
15488,0
25634,0
37633,0
64135,0
75185,0
72116,0
9027,0
69632,1
11104,0
18246,0
14812,0
17459,0
45882,0
32544,0
61922,0
13796,0
26075,0
50189,0
10240,0
11672,0
72400,0
31560,0
70026,0
21168,0
71192,0
12962,0
39811,0
49854,1
5637,0
64394,0
47199,1
13992,1
45398,0
24696,0
2896,0
22287,0
71133,0
6187,0
2472,0
17748,0
26529,0
23490,0
27182,0
48161,0
59395,0
51515,0
14665,0
72261,0
43523,0
60052,0
74975,0
34432,0
56710,0
29187,0
24731,0
45688,0
42406,0
68170,0
57022,0
16237,0
43842,0
74435,0
75084,0
71383,0
35048,0
73445,0
73019,0
26592,0
18874,0
1588,0
34093,0
18594,0
17141,0
31566,0
39200,1
33165,0
63465,0
60797,0
3327,0
73586,0
27743,0
24964,0
40043,0
7307,1
32389,0
12032,0
50519,0
50126,0
52725,0
57179,0
32872,0
6843,0
29248,0
17134,0
73002,0
61633,0
55801,0
70439,0
54390,0
36744,1
37954,1
20943,0
36842,0
75787,0
73249,0
44634,0
64081,0
52607,0
3878,0
7979,0
74863,0
4428,0
73874,0
1762,0
11269,0
35238,0
6366,0
60411,0
54855,0
2085,0
8740,0
23685,1
36033,0
14408,0
36379,0
22179,0
10768,0
16206,0
2590,0
45726,0
37131,0
64795,0
40556,0
73641,0
24086,0
19919,0
26263,0
37777,0
60227,0
39997,0
63063,0
61984,0
4870,0
27862,0
48877,0
7290,0
42461,0
6972,0
46365,0
14897,0
76269,1
38933,0
10054,0
3873,0
1575,0
44843,0
56734,0
44746,0
38135,0
73505,0
57857,0
37022,0
27729,0
35003,0
56982,0
30585,0
34071,0
51629,0
37992,0
42893,0
41102,0
15091,0
7832,0
69933,0
54881,0
31436,0
30760,0
4693,0
68291,0
75399,0
8303,0
76246,0
17350,0
32787,0
2453,0
75264,0
54107,0
38188,0
8264,0
76554,0
2118,0
28486,0
35097,0
29693,0
74498,0
67841,0
1274,0
56342,0
74190,0
13769,0
16456,0
554,0
47146,0
31618,0
50859,0
32360,0
43037,0
10860,0
36360,0
46445,0
17598,0
18178,0
36590,0
27944,0
47161,0
56724,0
26743,1
19684,0
11263,0
30764,0
68620,0
17225,0
54098,0
23776,0
44971,0
3150,0
14369,0
44012,0
4939,0
50021,0
39993,0
76540,0
62732,0
44607,0
75851,0
11667,0
73892,0
10779,0
46022,0
61640,0
6261,1
28276,0
49561,0
40358,1
7484,0
33527,0
46102,0
44005,0
15089,0
14106,0
8179,0
76555,0
25864,0
57485,0
6048,0
36549,0
35063,0
26943,0
26193,0
23921,0
75135,0
57085,0
21258,0
25393,0
591,1
50256,0
34448,0
37203,0
68847,0
50929,1
19358,0
47821,0
27835,0
9788,0
6211,0
3773,0
69550,0
11573,0
72777,0
39573,0
53431,1
10678,0
42170,1
4746,0
4043,0
45819,0
64618,0
62683,0
49658,0
41634,1
2251,0
55588,0
50208,0
51710,0
38938,0
51050,0
40896,1
62733,0
50462,1
41154,0
51915,0
3985,0
33855,0
36544,0
34059,0
75197,0
6360,0
39771,0
13235,0
27009,0
75786,0
64290,0
2843,1
68943,0
57566,0
3623,0
25586,0
33961,0
48549,0
68282,0
44640,1
46827,0
73876,0
48261,0
16873,0
39910,0
68281,1
45964,0
5446,0
53622,0
41021,0
27000,0
44364,0
65304,0
25866,0
48518,0
60804,0
12265,0
13984,0
68513,0
75775,0
50645,0
51848,0
48659,0
62724,0
1464,0
19310,0
75477,0
8278,0
42772,0
20951,0
66172,0
38648,0
62093,0
23462,0
8320,0
49330,0
2727,0
24517,0
461,1
283,0
50495,0
50651,0
34664,0
39775,0
33689,0
6719,1
7666,0
6805,1
11565,0
23423,0
39660,0
62717,0
42723,0
61204,0
12204,0
12886,0
41575,0
12454,0
49222,0
47435,0
66567,0
38537,0
53802,0
51182,0
50610,0
25019,0
3706,0
42701,0
10821,0
2697,0
44103,0
52469,0
62145,0
57592,0
61164,0
39776,0
44896,0
57380,0
53472,0
7631,0
18152,0
5727,1
69518,0
14671,0
39431,0
51548,0
46911,0
63672,1
5396,1
21756,1
43752,0
23311,1
60685,0
38027,0
22792,0
67663,0
59772,0
21930,0
75274,1
14702,0
27006,0
3247,0
510,0
64850,0
33762,0
27497,0
16148,0
41046,0
16128,0
4417,0
34847,0
52203,0
60462,0
43357,0
35283,0
38631,0
9571,0
17167,0
27005,0
55722,0
835,0
37377,0
41117,1
62632,0
50103,0
14909,0
48232,0
36314,0
63014,0
10659,1
27318,0
12209,0
45850,0
11483,0
58943,0
46108,0
70453,0
8686,0
49405,0
51233,1
67906,0
23773,0
58676,0
6067,0
73127,1
56540,0
34288,0
47819,0
18698,0
30273,0
71801,1
23876,0
41864,0
5153,1
25730,0
69725,0
27499,0
8954,0
63880,0
5556,0
60911,0
65278,1
74385,0
72975,1
58359,0
73128,0
39549,0
23868,0
18252,0
51154,0
38596,0
62363,0
56269,0
25789,0
56897,0
32013,0
70893,1
35969,0
40537,0
15053,0
34445,1
27233,0
24820,0
20870,0
7444,0
76584,0
62,0
72401,0
54237,0
22069,0
19162,0
35996,0
57404,1
33433,0
72840,0
72303,0
42430,0
21000,0
44035,0
53058,0
37622,0
5783,0
62810,0
9296,0
56985,1
44534,0
1152,1
56262,0
22241,0
7880,0
4489,0
27247,0
22942,0
54396,0
62040,0
16490,0
52016,1
21013,0
41854,0
59101,0
11162,0
6752,0
66197,0
71891,0
21266,0
32071,0
37407,0
53468,0
48298,0
20674,1
39658,0
12965,0
31891,0
12589,0
60642,0
41644,1
41172,0
76260,0
52351,0
19222,0
7295,0
40204,0
15658,0
44195,0
960,0
12554,0
55432,0
50634,0
66613,0
69902,0
28549,0
12813,1
20296,0
52362,0
20409,0
59988,0
18545,0
24159,0
61325,0
73746,0
72703,0
45441,0
70476,0
38945,0
49396,1
44111,0
22231,0
4900,0
14218,0
2441,0
62866,0
31599,0
11065,0
33787,0
76141,1
62489,0
27974,0
6531,0
64804,0
75603,0
19674,0
14366,0
39556,0
30623,1
15455,0
60614,0
50518,0
40511,1
75858,0
23784,0
26472,0
37349,0
1168,0
48425,0
34992,0
37552,0
37700,0
7195,0
1194,1
69010,1
37308,0
70885,0
22666,0
22904,0
57932,0
916,0
27744,0
68726,0
51687,0
3207,0
37572,0
48569,0
73793,0
45632,0
64800,0
18970,0
33675,0
45645,0
5827,0
39559,0
1742,0
76679,0
52937,0
18392,1
8592,0
17859,0
41893,0
58428,0
72445,0
10947,0
7546,0
70256,1
61703,0
8289,0
65594,0
43134,0
39787,0
6532,0
513,0
12242,0
20281,1
14681,0
39738,0
69577,0
70745,0
33427,0
33867,0
8972,0
10653,0
31544,0
10213,0
62958,0
8943,0
26082,0
3060,0
31932,0
32382,0
18452,0
16082,0
17979,0
61337,0
1879,0
70314,0
55990,1
67701,0
64758,0
72764,0
59539,0
30433,0
70389,0
44076,0
13418,0
41752,0
38587,0
25646,0
73801,0
34844,0
17270,0
56334,1
2503,0
8443,0
6189,0
12322,0
39297,1
23395,0
21442,0
47830,0
24228,0
70547,0
65279,0
56054,0
66605,0
62681,1
65708,0
28679,0
14811,1
44747,0
380,0
7394,0
8452,0
22703,0
4560,0
6275,0
70896,0
19950,0
58194,1
3239,0
53194,0
75510,0
50461,0
22057,0
37501,0
35958,1
36790,0
47728,0
34930,0
76590,0
73446,0
32692,0
20553,0
53439,0
1377,0
57628,1
1574,0
15270,0
13623,0
36890,0
60739,0
35443,1
24961,0
32008,0
72507,0
20215,0
27724,0
35070,0
74504,0
25412,1
7013,0
18085,0
21671,0
62769,0
353,0
61923,0
73631,0
41904,0
50087,0
28565,0
68277,0
44236,0
64724,0
29549,0
48985,0
50071,0
61415,1
11822,0
31207,0
75592,1
37829,0
1287,0
35915,0
52258,0
2887,0
21838,0
75740,0
27968,0
44812,0
69743,0
27694,0
54968,0
37851,0
43114,0
35968,0
73640,0
13707,0
30681,0
74152,0
24038,0
37346,0
58787,0
14779,0
29070,0
53243,0
8640,0
9070,0
69883,0
28769,0
45440,0
54541,0
41570,0
26654,0
67288,0
65602,0
28904,0
72529,0
72770,0
67686,0
34035,0
19177,0
11810,0
30967,0
8372,0
71270,0
69047,0
13961,0
35823,0
63614,0
61149,0
9562,1
46642,0
58193,0
63535,0
35971,0
33055,0
71843,0
43246,0
39784,0
33668,0
11433,0
64077,0
42972,0
28767,0
42135,0
5445,0
22139,0
32499,0
21056,0
2009,0
69618,0
32355,0
33678,0
57444,0
23571,0
34494,1
3435,0
19217,0
18206,0
44032,0
24089,0
19362,0
14952,0
7446,0
69913,0
31967,0
11718,0
4700,0
58871,0
45613,0
5196,0
73802,0
73057,0
52601,0
29765,0
39977,0
886,0
40017,0
67294,0
74361,0
12492,0
37682,0
48720,0
57371,0
34943,0
42595,0
3782,0
46802,0
72531,0
39204,0
48033,0
31744,0
51150,1
25615,0
18005,0
64405,0
13309,0
5755,1
24761,0
17072,0
20424,0
66278,0
72829,0
69406,0
58930,1
54330,0
5535,0
52277,0
5079,0
42615,0
15868,0
64981,0
22579,0
64749,0
28722,0
3544,0
25600,0
1253,0
33068,0
47584,0
62650,0
52291,0
26000,0
10777,0
75033,0
28634,1
69156,0
60514,0
59857,0
76014,0
20533,0
8002,0
46367,0
9678,1
44013,0
33105,0
1281,0
70532,0
13354,0
22234,0
72837,0
66617,0
44306,0
45705,0
15558,0
68773,0
37629,0
34866,0
45307,1
18510,0
45476,0
16510,0
41818,0
60596,0
75561,0
73769,0
41155,0
71948,0
4490,0
49062,0
19268,0
1618,0
28593,0
65897,0
64079,0
6553,0
22449,0
49214,0
69015,0
24011,0
12461,0
10075,0
4890,0
75381,1
1520,0
25257,0
500,0
47271,0
62707,0
1573,0
16368,0
55775,0
34352,0
22985,0
6643,0
12677,0
52548,0
1332,0
51568,0
36027,1
48068,0
23938,0
28439,0
14891,0
50731,0
67377,0
32896,1
55141,0
17039,1
11293,0
65530,0
28874,0
33758,0
45762,0
3563,1
33677,0
7008,0
23143,0
55051,0
53741,0
27102,0
42139,0
60214,0
5252,0
40900,0
6733,0
39749,0
11815,0
39409,0
44067,0
40920,0
38813,0
19127,0
45810,0
40086,0
28108,0
41220,0
40199,0
69048,0
46550,0
23193,0
12838,0
8908,0
22695,0
32771,0
6,0
34773,0
27269,1
55362,0
21705,0
48582,0
75403,0
29152,0
23232,0
37659,0
55058,0
63502,0
34679,0
30298,0
17572,0
36436,0
19360,0
63598,0
8283,0
50316,0
21947,0
57557,0
14593,1
16262,0
41213,0
32715,0
2270,0
46430,0
63337,0
21019,0
55987,0
13482,0
4796,0
4779,0
69531,0
16527,0
65050,0
25601,0
6402,0
51573,0
58870,0
21948,0
67654,0
31114,0
61190,1
35327,1
17122,0
58097,1
16869,0
50998,0
34467,0
43592,0
51872,0
70347,0
39280,0
7661,0
65999,0
44278,0
36043,0
59550,0
15295,0
63719,0
8971,0
22701,0
25403,0
44604,0
347,0
39338,0
38390,1
23495,0
48992,0
25107,0
63620,0
23693,0
13119,0
35999,0
60901,0
74037,0
73414,1
73634,0
17412,0
11605,0
44299,0
55724,0
16199,0
20953,0
50114,0
15044,0
42158,0
10786,0
34551,0
41988,1
26384,0
61742,0
4488,0
40742,0
54149,1
27740,0
31084,0
33056,0
11218,0
56096,0
56223,0
65373,0
74072,0
6273,0
72452,0
34733,0
8670,0
57552,0
28566,0
32364,1
76490,0
20140,0
2975,0
43463,0
7284,1
58875,0
1746,0
2540,0
53968,1
38495,1
13527,0
13879,0
65204,0
22891,1
71377,0
7089,0
12359,1
29866,0
45652,0
7518,0
22270,0
57322,0
22169,0
69619,0
39718,0
6139,0
45276,0
60435,0
60017,0
41092,0
30403,0
2457,0
34437,0
17301,0
69934,0
15078,0
17878,0
9816,1
4161,0
64652,1
20269,0
27439,0
58993,0
57414,0
55250,0
18117,0
12825,0
22917,1
33670,0
38253,0
11751,0
45707,0
43004,0
43878,0
46374,0
31922,0
143,0
31752,0
53573,0
30429,0
58168,0
75771,1
19747,0
63516,0
74353,0
11149,1
52490,0
24942,0
17516,0
74064,1
29751,0
70327,0
15549,0
188,0
48427,0
43137,0
52283,0
33839,0
429,0
11934,1
26841,0
21455,0
6981,0
149,0
16718,0
17235,0
17781,0
11337,0
20471,0
75344,0
10052,0
35513,0
7621,0
11288,0
61094,0
29766,0
73630,0
66028,0
47272,0
13118,0
64876,0
66118,0
21734,0
67542,0
18726,0
8357,0
2591,0
23732,0
45423,0
2802,0
52697,0
68649,0
5712,0
71495,0
50834,0
25888,0
26438,0
21031,1
18538,0
16417,0
29211,0
30181,0
40673,0
1922,0
41435,0
62000,0
30642,0
35349,0
40425,0
33977,0
38069,0
1212,0
18915,0
69060,0
20013,0
1213,0
59564,0
17961,0
18585,0
17711,0
50614,1
13789,0
28548,0
24091,0
6051,0
63112,0
43145,0
38187,0
8958,0
7223,0
65574,0
2984,0
25031,0
76612,0
15148,0
30081,0
6565,0
11062,0
36487,0
22460,0
75039,0
20087,0
72468,0
27399,0
57837,0
42177,0
43789,0
70901,0
354,0
29396,1
38216,0
11890,0
24707,0
47458,0
22462,0
50102,1
46056,0
48067,0
55819,0
59159,0
59402,0
6266,0
10290,0
43530,0
25584,0
46606,0
4381,0
10566,0
52791,0
50932,0
17352,0
61489,0
31661,0
47290,0
14320,0
5998,0
55201,0
8300,0
59273,0
62795,1
60972,0
52698,0
11140,0
55653,0
10278,0
10733,1
28671,0
76143,0
50950,0
54102,0
61622,0
32266,0
68447,0
16106,0
59793,0
38011,0
36220,0
23278,0
71892,0
24603,0
24307,0
40575,0
59965,0
41044,0
41107,1
73888,1
56273,0
11668,0
58011,0
60309,0
40792,0
11873,0
32394,0
16534,0
68593,0
57487,1
41278,0
6096,0
18333,0
35733,0
4072,0
14368,0
39583,0
9074,0
12719,0
12220,0
37776,0
53619,0
26681,0
44264,0
306,0
54823,0
13532,1
42986,0
13875,0
14234,0
50212,0
55471,0
9035,0
68848,0
28800,0
75560,1
50913,0
75901,0
14470,0
55129,0
53907,0
52193,0
50076,0
17149,0
51493,0
58714,0
29755,0
35709,0
29724,1
28334,0
57640,0
14762,0
52318,0
6050,0
56232,0
61628,0
57859,0
2068,0
50737,1
73587,0
63692,0
59399,0
57614,0
25525,1
20213,0
33583,0
10452,0
53432,0
23335,0
34320,0
50404,0
40748,0
60031,0
6387,0
4800,0
25707,0
72402,0
41260,0
34732,0
8371,0
31007,0
32230,0
42247,0
54453,0
37999,0
728,0
69202,0
34782,0
5821,0
62736,0
5836,0
40486,0
5564,1
27922,0
42054,0
3263,1
22128,0
25367,0
41565,1
65372,0
31837,0
28928,0
25818,0
42979,0
1558,0
21939,0
47108,0
4790,1
64943,0
68774,0
58695,0
22892,0
59400,0
42687,0
21497,0
15941,0
26664,0
14658,0
43623,0
1945,0
67863,0
55515,0
68546,0
8594,0
44424,0
44233,0
7792,0
60261,0
9434,0
51871,1
22295,0
3961,0
70325,0
6941,1
9265,0
30179,0
17695,0
41723,0
41983,0
44082,0
23282,1
13806,0
71611,0
57748,0
75854,0
57491,0
37587,0
27954,0
18345,0
62890,0
46270,0
54596,0
70056,0
21843,0
8401,0
29109,0
70498,1
7678,0
75896,0
32661,0
25421,0
8274,0
61778,0
21038,0
26696,0
75643,1
13369,0
63316,0
16733,0
10050,0
31027,0
56692,0
73280,0
12028,0
10196,0
30689,0
30866,0
32493,0
60920,0
54171,0
21261,0
57399,0
50059,0
35297,0
42191,0
49616,1
53350,0
58969,0
15661,0
50603,0
30974,0
13319,0
71188,0
14332,0
52138,0
36258,0
24732,0
38619,0
66089,0
42258,0
24135,0
36742,0
27345,0
1766,0
30042,0
6603,0
55632,0
52593,0
1021,0
7582,0
22459,0
44334,0
11682,0
47060,0
53407,0
31553,0
72693,0
